network,pos,vel,result
sig_6x16.yml,-1.2,-0.07,False
sig_3x32.yml,-1.2,-0.07,False
sig_4x128.yml,-1.2,-0.07,True
sig_10x64.yml,-1.2,-0.07,False
sig_2x64.yml,-1.2,-0.07,False
sig_8x16.yml,-1.2,-0.07,False
sig_4x16.yml,-1.2,-0.07,False
sig_5x128.yml,-1.2,-0.07,False
sig_8x64.yml,-1.2,-0.07,False
sig_4x64.yml,-1.2,-0.07,False
sig_7x128.yml,-1.2,-0.07,False
sig_5x32.yml,-1.2,-0.07,False
sig_10x16.yml,-1.2,-0.07,False
sig_7x32.yml,-1.2,-0.07,False
sig_6x128.yml,-1.2,-0.07,False
sig_2x16.yml,-1.2,-0.07,False
sig_6x64.yml,-1.2,-0.07,False
sig16x16.yml,-1.2,-0.07,False
sig_3x64.yml,-1.2,-0.07,False
sig_3x128.yml,-1.2,-0.07,False
sig_10x32.yml,-1.2,-0.07,False
sig_7x16.yml,-1.2,-0.07,False
sig_2x32.yml,-1.2,-0.07,False
sig_2x100.yml,-1.2,-0.07,False
sig_2x128.yml,-1.2,-0.07,False
sig_10x128.yml,-1.2,-0.07,False
sig_9x16.yml,-1.2,-0.07,False
sig_5x16.yml,-1.2,-0.07,False
sig_8x32.yml,-1.2,-0.07,False
sig_4x32.yml,-1.2,-0.07,False
sig_9x128.yml,-1.2,-0.07,False
sig_9x64.yml,-1.2,-0.07,False
sig_5x64.yml,-1.2,-0.07,False
sig_8x128.yml,-1.2,-0.07,False
sig_7x64.yml,-1.2,-0.07,True
sig_6x32.yml,-1.2,-0.07,False
sig_3x16.yml,-1.2,-0.07,False
sig_6x16.yml,-1.2,-0.06,False
sig_3x32.yml,-1.2,-0.06,False
sig_4x128.yml,-1.2,-0.06,True
sig_10x64.yml,-1.2,-0.06,False
sig_2x64.yml,-1.2,-0.06,False
sig_8x16.yml,-1.2,-0.06,False
sig_4x16.yml,-1.2,-0.06,False
sig_5x128.yml,-1.2,-0.06,False
sig_8x64.yml,-1.2,-0.06,False
sig_4x64.yml,-1.2,-0.06,False
sig_7x128.yml,-1.2,-0.06,False
sig_5x32.yml,-1.2,-0.06,False
sig_10x16.yml,-1.2,-0.06,False
sig_7x32.yml,-1.2,-0.06,False
sig_6x128.yml,-1.2,-0.06,False
sig_2x16.yml,-1.2,-0.06,False
sig_6x64.yml,-1.2,-0.06,False
sig16x16.yml,-1.2,-0.06,False
sig_3x64.yml,-1.2,-0.06,False
sig_3x128.yml,-1.2,-0.06,False
sig_10x32.yml,-1.2,-0.06,False
sig_7x16.yml,-1.2,-0.06,False
sig_2x32.yml,-1.2,-0.06,False
sig_2x100.yml,-1.2,-0.06,False
sig_2x128.yml,-1.2,-0.06,False
sig_10x128.yml,-1.2,-0.06,False
sig_9x16.yml,-1.2,-0.06,False
sig_5x16.yml,-1.2,-0.06,False
sig_8x32.yml,-1.2,-0.06,False
sig_4x32.yml,-1.2,-0.06,False
sig_9x128.yml,-1.2,-0.06,False
sig_9x64.yml,-1.2,-0.06,False
sig_5x64.yml,-1.2,-0.06,False
sig_8x128.yml,-1.2,-0.06,False
sig_7x64.yml,-1.2,-0.06,True
sig_6x32.yml,-1.2,-0.06,False
sig_3x16.yml,-1.2,-0.06,False
sig_6x16.yml,-1.2,-0.05,False
sig_3x32.yml,-1.2,-0.05,False
sig_4x128.yml,-1.2,-0.05,True
sig_10x64.yml,-1.2,-0.05,False
sig_2x64.yml,-1.2,-0.05,False
sig_8x16.yml,-1.2,-0.05,False
sig_4x16.yml,-1.2,-0.05,False
sig_5x128.yml,-1.2,-0.05,False
sig_8x64.yml,-1.2,-0.05,False
sig_4x64.yml,-1.2,-0.05,False
sig_7x128.yml,-1.2,-0.05,False
sig_5x32.yml,-1.2,-0.05,False
sig_10x16.yml,-1.2,-0.05,False
sig_7x32.yml,-1.2,-0.05,False
sig_6x128.yml,-1.2,-0.05,False
sig_2x16.yml,-1.2,-0.05,False
sig_6x64.yml,-1.2,-0.05,False
sig16x16.yml,-1.2,-0.05,False
sig_3x64.yml,-1.2,-0.05,False
sig_3x128.yml,-1.2,-0.05,False
sig_10x32.yml,-1.2,-0.05,False
sig_7x16.yml,-1.2,-0.05,False
sig_2x32.yml,-1.2,-0.05,False
sig_2x100.yml,-1.2,-0.05,False
sig_2x128.yml,-1.2,-0.05,False
sig_10x128.yml,-1.2,-0.05,False
sig_9x16.yml,-1.2,-0.05,False
sig_5x16.yml,-1.2,-0.05,False
sig_8x32.yml,-1.2,-0.05,False
sig_4x32.yml,-1.2,-0.05,False
