,altitude,speed,power,pit,result
0,4800,450,15,-15,False
1,5200,400,0,15,False
2,5350,500,20,10,False
3,4850,350,5,10,True
4,5250,550,25,-5,False
5,5400,550,0,5,False
6,4500,450,15,15,False
7,5350,550,5,15,False
8,4900,750,25,15,True
9,5250,700,10,-20,False
10,5050,450,25,-15,False
11,5000,400,0,10,True
12,4900,350,0,0,False
13,5300,350,20,15,False
14,5050,600,15,-10,True
15,5300,550,5,-20,False
16,5200,750,20,0,False
17,4750,750,20,5,True
18,5100,450,10,0,True
19,5250,650,10,-5,False
20,4800,550,10,0,False
21,4800,450,0,-10,False
22,5200,750,5,-20,False
23,4500,650,5,-10,False
24,4500,650,25,-15,False
25,4850,450,15,5,True
26,5150,400,20,5,False
27,5050,650,10,-15,False
28,4600,300,15,5,False
29,5300,550,10,-15,False
30,5400,600,20,-5,False
31,4500,600,10,-10,False
32,5300,450,20,-15,False
33,4500,300,5,-20,False
34,4650,500,5,-20,False
35,5100,450,5,-10,True
36,4850,500,0,-15,False
37,4700,450,0,-20,False
38,4600,300,15,-15,False
39,4700,400,15,-5,False
40,4500,300,0,-10,False
41,5150,500,15,-10,True
42,5100,600,10,-15,False
43,5150,350,0,-20,False
44,4900,550,0,15,True
45,4650,550,15,-5,False
46,4850,500,5,-20,False
47,4600,450,10,10,False
48,5150,400,0,-15,False
49,4800,300,25,-20,False
50,5100,450,10,15,False
51,5050,500,5,-5,True
52,4550,450,5,-15,False
53,5000,750,5,5,False
54,4700,300,10,-20,False
55,4850,450,15,15,True
56,4900,700,10,0,True
57,5150,650,0,10,False
58,4700,450,10,-5,False
59,5400,600,15,-10,False
60,5250,700,20,-5,False
61,5000,600,5,15,False
62,5400,550,10,-10,False
63,4500,350,10,-10,False
64,5100,650,0,-5,True
65,4950,700,0,0,True
66,4600,450,15,-15,False
67,5000,400,10,5,True
68,4500,500,20,0,False
69,4600,400,20,5,False
70,5350,750,10,-10,False
71,4500,350,0,5,False
72,5050,350,5,-15,False
73,5250,450,0,-15,False
74,5450,750,20,-10,False
75,4900,300,15,10,True
76,4900,500,25,-10,False
77,4600,350,20,10,False
78,5000,400,15,5,True
79,5150,400,15,-20,False
80,5050,350,15,-5,True
81,4550,400,25,15,False
82,5400,750,0,-10,False
83,5250,700,0,-10,False
84,5000,700,0,10,False
85,4600,550,10,15,False
86,4650,300,20,-20,False
87,5050,650,20,-10,True
88,5350,600,15,-15,False
89,4550,600,10,15,False
90,4800,650,0,15,True
91,5200,650,20,10,False
92,4700,750,15,10,False
93,4750,450,25,15,False
94,4750,500,0,0,False
95,4600,300,10,15,False
96,4550,300,10,-20,False
97,5450,700,0,0,False
98,5300,300,25,-10,False
99,4800,650,10,-10,True
100,5350,550,20,-20,False
101,5100,700,15,5,False
102,4750,750,0,0,True
103,4750,350,20,0,False
104,5000,600,5,10,False
105,4500,750,15,15,False
106,4550,750,5,-20,False
107,4800,650,10,0,True
108,4750,300,15,10,False
109,4850,650,0,5,True
110,4500,300,25,15,False
111,5300,650,20,-5,False
112,5450,750,25,-5,False
113,4500,600,25,0,False
114,4850,700,15,-5,True
115,5300,700,0,0,False
116,4700,600,15,-20,False
117,5000,300,20,-5,False
118,5150,450,25,-15,False
119,4750,750,10,-15,False
120,5300,750,10,5,False
121,4600,350,5,-15,False
122,5050,700,5,0,True
123,5000,350,0,-5,False
124,4550,400,20,-5,False
125,5100,400,10,-15,False
126,5400,350,10,5,False
127,4650,700,0,-15,False
128,4500,350,5,15,False
129,4500,450,10,0,False
130,5000,450,25,5,True
131,4900,350,15,0,False
132,4900,600,20,-5,True
133,4750,350,25,10,False
134,4900,450,5,-10,False
135,5350,500,20,0,False
136,5250,700,10,-15,False
137,4500,350,25,-5,False
138,5100,350,0,10,False
139,4950,550,0,5,True
140,4700,600,25,-10,False
141,5100,350,5,-10,True
142,4600,650,20,15,False
143,5300,600,0,-5,False
144,5200,450,0,-5,True
145,5300,700,0,5,False
146,5400,300,0,-15,False
147,4600,350,0,-20,False
148,5350,450,20,-5,False
149,5300,300,25,-5,False
150,5350,700,15,10,False
151,4950,450,5,-5,True
152,4650,450,0,-5,False
153,5050,500,5,0,True
154,5300,700,20,5,False
155,5150,500,10,5,False
156,4750,400,15,-10,False
157,4800,550,10,15,True
158,4950,600,25,-10,True
159,4550,400,5,5,False
160,5050,350,10,5,False
161,5400,650,0,15,False
162,4900,650,5,-20,False
163,5350,550,10,-5,False
164,5450,450,0,10,False
165,4750,450,0,-20,False
166,4550,500,5,-20,False
167,5350,400,25,-5,False
168,5450,400,20,-5,False
169,5350,550,5,-5,False
170,4700,300,25,15,False
171,4850,350,25,-15,False
172,5350,600,25,5,False
173,5350,300,20,-20,False
174,4850,500,10,-15,False
175,4900,550,15,15,True
176,4500,400,0,5,False
177,4500,550,20,0,False
178,4850,300,10,-10,False
179,4500,500,5,-15,False
180,4550,550,0,10,False
181,4750,500,5,15,False
182,4650,650,15,0,False
183,4750,700,15,5,True
184,4500,750,10,-10,False
185,4950,600,20,-15,False
186,5250,500,15,0,False
187,4500,400,20,10,False
188,5350,350,0,0,False
189,4900,400,25,-10,False
190,4650,650,15,15,False
191,5300,750,5,-5,False
192,4650,400,25,-5,False
193,5400,550,25,10,False
194,4550,400,25,-15,False
195,4700,600,20,-15,False
196,4850,600,20,15,True
197,5100,350,20,15,False
198,5150,500,0,-5,True
199,4800,700,20,-5,True
200,5300,700,15,10,False
201,5350,600,15,5,False
202,4700,700,20,-20,False
203,4650,700,15,-15,False
204,4700,600,25,15,False
205,4850,600,15,10,True
206,5400,350,25,-10,False
207,4500,350,25,-20,False
208,5400,400,0,15,False
209,4600,650,0,-10,False
210,4950,650,20,15,False
211,5450,300,0,-5,False
212,4500,300,10,10,False
213,5000,550,25,-5,True
214,5400,300,25,10,False
215,5300,300,25,5,False
216,5350,300,5,10,False
217,5050,750,0,-5,True
218,5100,500,0,-5,True
219,5000,300,5,-5,False
220,5150,750,10,10,False
221,4950,350,5,5,True
222,5350,750,15,-15,False
223,4700,400,10,10,False
224,4700,550,5,-15,False
225,5250,600,20,0,False
226,5000,650,0,-15,False
227,4650,750,10,-5,False
228,4650,400,20,15,False
229,5450,350,20,-15,False
230,4950,550,15,-20,False
231,4700,700,0,-15,False
232,5250,450,15,-15,False
233,4550,550,15,-5,False
234,5400,600,20,-10,False
235,5250,450,15,5,False
236,5300,750,0,-15,False
237,5200,700,5,10,False
238,4850,700,0,10,True
239,4750,350,0,10,False
240,4500,500,20,-10,False
241,4950,750,5,-5,True
242,5350,650,15,5,False
243,4900,500,10,-15,False
244,4900,600,10,15,True
245,4950,400,0,-5,False
246,5000,700,0,15,False
247,5300,550,15,5,False
248,5350,500,0,5,False
249,5100,350,25,5,False
250,4650,300,15,-10,False
251,4950,450,10,-5,True
252,4800,300,25,15,False
253,4700,350,10,5,False
254,4950,350,15,10,True
255,5450,550,25,0,False
256,4750,550,5,-5,False
257,4650,650,5,-10,False
258,4750,450,15,-15,False
259,5300,600,0,0,False
260,4950,300,20,-20,False
261,5250,500,10,-15,False
262,4750,550,10,-10,False
263,5400,600,5,-5,False
264,5050,600,5,-5,True
265,5250,700,5,15,False
266,5000,600,20,10,False
267,4750,450,0,-15,False
268,4600,450,5,-5,False
269,5100,700,5,-10,True
270,5250,400,20,-5,False
271,4750,750,15,-10,False
272,4900,500,20,-10,False
273,4900,300,10,-10,False
274,4500,350,20,-15,False
275,5300,350,0,-15,False
276,4550,650,0,10,False
277,4650,450,15,5,False
278,5250,450,5,15,False
279,4800,350,0,10,False
280,5350,500,20,15,False
281,4850,300,25,0,False
282,4500,750,15,-5,False
283,5300,700,25,0,False
284,5450,600,10,-20,False
285,4750,700,25,10,True
286,5400,450,5,15,False
287,5200,350,5,0,False
288,4650,450,0,10,False
289,4850,300,10,10,False
290,5450,450,0,0,False
291,4950,700,15,-5,True
292,4500,700,15,-5,False
293,4900,550,25,-20,False
294,5200,400,25,-20,False
295,5450,500,15,-10,False
296,4700,650,25,0,False
297,4800,300,15,-20,False
298,5200,600,5,15,False
299,5100,650,25,-10,True
300,5400,500,0,-15,False
301,4650,500,15,0,False
302,5150,350,0,-10,True
303,4850,300,15,-15,False
304,5100,500,25,15,False
305,4550,700,0,10,False
306,4500,500,20,-15,False
307,4550,400,10,-5,False
308,4900,700,0,5,True
309,5100,550,15,-15,False
310,5350,450,5,-15,False
311,5150,550,15,15,False
312,4900,600,0,-10,True
313,4650,550,20,5,False
314,4650,400,15,10,False
315,4750,550,15,-5,False
316,4800,550,20,10,True
317,5450,350,25,5,False
318,5050,500,15,-5,True
